Disease	GDS IDs
Muscular Dystrophies, Limb-Girdle	GDS3474, GDS3475
Muscular Dystrophy	GDS1333, GDS1334, GDS1778, GDS1956, GDS214, GDS215, GDS236, GDS258, GDS262, GDS264, GDS265, GDS270, GDS2746, GDS2855, GDS2884, GDS3027, GDS3398, GDS525, GDS563, GDS609, GDS610, GDS611, GDS612, GDS614, GDS638, GDS639, GDS703
Myelitis	GDS259, GDS339, GDS63, GDS869, GDS870, GDS871, GDS872, GDS873, GDS874
Myelodysplastic Syndrome	GDS1392, GDS2118
Myocardial Ischemia	GDS1362, GDS1597, GDS3655, GDS808
Myocarditis	
Myositis	GDS198
Neoplasm	GDS1062, GDS1067, GDS1096, GDS1209, GDS1210, GDS1221, GDS1222, GDS1250, GDS1253, GDS1282, GDS1286, GDS1312, GDS1321, GDS1326, GDS1329, GDS1344, GDS1351, GDS1363, GDS1375, GDS1380, GDS1381, GDS1385, GDS1390, GDS1439, GDS1440, GDS1477, GDS1479, GDS1510, GDS1516, GDS1523, GDS1549, GDS1568, GDS1584, GDS1627, GDS1637, GDS1649, GDS1650, GDS1664, GDS1665, GDS1667, GDS1697, GDS1699, GDS170, GDS1714, GDS1730, GDS1736, GDS1746, GDS1750, GDS1761, GDS1780, GDS1791, GDS1792, GDS1812, GDS1813, GDS1815, GDS1816, GDS183, GDS1830, GDS1873, GDS1887, GDS1902, GDS1924, GDS1925, GDS1942, GDS1964, GDS1965, GDS1973, GDS1975, GDS1976, GDS1989, GDS1990, GDS2006, GDS2025, GDS2034, GDS2045, GDS2046, GDS205, GDS2051, GDS2052, GDS2086, GDS2087, GDS2088, GDS2103, GDS2107, GDS2138, GDS2139, GDS2141, GDS2160, GDS2161, GDS2162, GDS2163, GDS2171, GDS2189, GDS2200, GDS2201, GDS2229, GDS2250, GDS2251, GDS2297, GDS2298, GDS232, GDS2321, GDS2323, GDS2324, GDS2327, GDS2339, GDS2342, GDS2358, GDS2367, GDS2373, GDS238, GDS2384, GDS2415, GDS2416, GDS2418, GDS2432, GDS2443, GDS2444, GDS2454, GDS2468, GDS2493, GDS2494, GDS2496, GDS2497, GDS2514, GDS2520, GDS2530, GDS2545, GDS2546, GDS2547, GDS2554, GDS2558, GDS2562, GDS2609, GDS2617, GDS2618, GDS2635, GDS2643, GDS2693, GDS2721, GDS2728, GDS2733, GDS2735, GDS2736, GDS2737, GDS2739, GDS274, GDS2744, GDS2745, GDS2752, GDS2755, GDS2770, GDS2771, GDS2777, GDS2782, GDS2785, GDS2787, GDS2788, GDS2789, GDS2810, GDS2819, GDS2827, GDS2842, GDS2856, GDS2860, GDS2861, GDS2865, GDS2872, GDS2880, GDS2881, GDS2901, GDS2902, GDS2903, GDS2918, GDS2924, GDS2932, GDS2947, GDS2963, GDS2966, GDS2971, GDS3017, GDS3029, GDS3032, GDS3057, GDS3087, GDS3091, GDS3096, GDS3097, GDS3101, GDS3105, GDS3111, GDS3114, GDS3116, GDS3133, GDS3138, GDS3139, GDS3148, GDS3149, GDS3151, GDS3155, GDS3160, GDS3176, GDS3233, GDS3257, GDS3258, GDS3260, GDS3262, GDS3274, GDS3283, GDS3285, GDS3289, GDS3292, GDS3297, GDS3308, GDS3312, GDS3315, GDS3319, GDS332, GDS3321, GDS3324, GDS3329, GDS3334, GDS3346, GDS3349, GDS3350, GDS3351, GDS3367, GDS337, GDS3384, GDS3388, GDS3424, GDS3455, GDS3456, GDS3471, GDS3472, GDS3482, GDS3484, GDS3487, GDS3489, GDS3493, GDS3494, GDS3501, GDS3510, GDS3517, GDS3525, GDS3533, GDS3537, GDS3547, GDS3550, GDS3556, GDS3578, GDS3581, GDS3592, GDS3603, GDS3604, GDS3609, GDS3610, GDS3627, GDS3634, GDS3638, GDS3710, GDS3716, GDS395, GDS470, GDS505, GDS507, GDS535, GDS536, GDS679, GDS709, GDS756, GDS806, GDS807, GDS817, GDS820, GDS823, GDS825, GDS845, GDS846, GDS847, GDS848, GDS88, GDS881, GDS884, GDS892, GDS893, GDS911, GDS992, GDS997
Neoplasm Metastasis	GDS1096, GDS1390, GDS1439, GDS2034, GDS2086, GDS2087, GDS2088, GDS232, GDS2384, GDS2545, GDS2546, GDS2547, GDS2617, GDS2618, GDS274, GDS2865, GDS3138, GDS3148, GDS3289, GDS3489, GDS3510, GDS3710
Neoplasms, Squamous Cell	
Nephritis	GDS580
Neuritis	
Neurodegenerative Disease	GDS1311, GDS3459, GDS787
Niemann-Pick Disease	
Obesity	GDS1053, GDS1213, GDS1307, GDS1359, GDS1360, GDS1374, GDS1443, GDS1444, GDS1456, GDS1480, GDS1481, GDS1495, GDS1496, GDS1497, GDS1498, GDS157, GDS158, GDS160, GDS161, GDS162, GDS1729, GDS2089, GDS2289, GDS2319, GDS2320, GDS2413, GDS2542, GDS2605, GDS2648, GDS268, GDS279, GDS2818, GDS2909, GDS2946, GDS3104, GDS3228, GDS3347, GDS3396, GDS3423, GDS3527, GDS3528, GDS3601, GDS3602, GDS3679, GDS3681, GDS3694, GDS880, GDS915
Obsessive-Compulsive Disorder	
Orchitis	
Osteitis	
Osteoarthritis	GDS2809
Osteomyelitis	
Osteoperosis	
Otitis	
Ovarian Neoplasm	GDS1381, GDS1523, GDS2785, GDS2963, GDS3297, GDS3525, GDS3592
Ovaritis	
Paget Disease	
Pancreatitis	GDS2107, GDS567
Panic Disorder	
Paranoid Personality Disorder	
Parkinson Disease	GDS2053, GDS2358, GDS2519, GDS2821, GDS3128, GDS3129
Parkinson Disease, Postencephalitic	
Parkinson Disease, Secondary	GDS2053
Parotitis	
Passive-Aggressive Personality Disorder	
Pelizaeus-Merzbacher Disease	
Pelvic Inflammatory Disease	
Pericarditis	
Periostitis	
Peripheral Arterial Disease	
Peritoneal Disease	GDS3092
Peritonitis	
Personality Disorders	
Pharyngitis	
Phlebitis	
Pick Disease of the Brain	
Pneumonia	GDS1941, GDS2165, GDS3522
Poliomyelitis	
Polycystic Ovary Syndrome	GDS1050, GDS1051, GDS2084, GDS3104
Pre-Eclampsia	GDS2080, GDS2548, GDS3467
Progeria	GDS1503, GDS1504, GDS3495
Prostatic Neoplasm	GDS1390, GDS1439, GDS1697, GDS1699, GDS1736, GDS1746, GDS1973, GDS2034, GDS2171, GDS2384, GDS2443, GDS2545, GDS2546, GDS2547, GDS2562, GDS2617, GDS2618, GDS2782, GDS2865, GDS2971, GDS3111, GDS3155, GDS3289, GDS3634, GDS535, GDS536
Prostatitis	
Psoriasis	GDS2518, GDS2611, GDS3539
Pulmonary Disease	GDS1304, GDS1436, GDS2486, GDS2489, GDS2490, GDS2491, GDS3342, GDS3496
Pulmonary Disease, Chronic Obstructive	GDS1304, GDS1436, GDS2486, GDS2489, GDS2490, GDS2491, GDS3342, GDS3496
Pulmonary Emphysema	GDS1269, GDS1874, GDS670, GDS737
Pulmonary Fibrosis	GDS1252, GDS1492
Pulmonary Veno-Occlusive Disease	
Pyelitis	
Pyelonephritis	
Reactive Attachment Disorder	
Refsum Disease	
Refsum Disease, Infantile	
Renal Insufficiency	
Reperfusion Injury	GDS3513, GDS808
Retinal Diseases	GDS2936, GDS3186, GDS3187
Retinitis	GDS1845
Rett Syndrome	GDS2125, GDS2613
Rhabdomyosarcoma	GDS1562, GDS2420
Rhabdomyosarcoma, Alveolar	GDS1562
Rheumatic Heart Disease	
Rhinitis	
Rickets	
Roseolovirus Infections	GDS1676
Rotavirus Infection	GDS2048
Salpingitis	
Sandhoff Disease	
Sarcoidosis	GDS3580, GDS3705
Sarcoidosis, Pulmonary	GDS3580, GDS3705
Sarcoma	GDS1282, GDS1548, GDS1713, GDS2698, GDS2733, GDS2736, GDS708, GDS916, GDS918
Schizophrenia	GDS3345
Schizophrenia, Paranoid	
Seasonal Affective Disorder	
Sepsis	GDS2092, GDS2235, GDS2808, GDS3085, GDS3463
Severe Acute Respiratory Syndrome	GDS1028
Severe Combined Immunodeficiency	GDS420, GDS421
Shared Paranoid Disorder	
Shizoid Personality Disorder	
Shizotypal Personality Disorder	
Sialadenitis	
Sialic Acid Storage Disease	
Silo Filler's Disease	
Simian Acquired Immunodeficiency Syndrome	GDS172, GDS2164
Sinusitis	
Skin Disease	GDS2640, GDS2732
Skin Diseases, Eczematous	
Skin Neoplasm	GDS1375, GDS1440, GDS1965, GDS2139, GDS2200, GDS2735, GDS2872, GDS3176, GDS3334, GDS3517
Sleep Disorder	
Sleep Disorders	
Small Cell Lung Carcinoma	
Speech Disorder	
Spinal Cord Disease	
Spinal Cord Injuries	GDS1238, GDS259, GDS339, GDS3507, GDS63, GDS869, GDS870, GDS871, GDS872, GDS873, GDS874
Spondylitis	
Stenosis	GDS3018
Still's Disease	
Stomach Neoplasm	GDS1210, GDS1792, GDS2103, GDS2558, GDS3346
Stomatitis	
Streptococcal Infections	GDS2353
Stress Disorder	GDS1020
Stress Disorders, Post-Traumatic	GDS1020
Stress Disorders, Traumatic	
Stress Disorders, Traumatic, Acute	
Synovitis	
Systemic Inflammatory Response Syndrome	
Tay-Sachs Disease	
Tay-Sachs Disease, AB Variant	
Tendinopathy	
Tendonitis	
Tenosynovitis	
Teratoma	GDS3300
Thrombocythemia	GDS552, GDS761
Thrombocythemia, Essential	GDS552, GDS761
Thrombocytosis	GDS1376
Thrombophlebitis	
Thyroiditis	
Tobacco Use Disorder	GDS2447
Tonsillitis	
Tourette Syndrome	
Tracheitis	
Tuberculosis	GDS1552, GDS2180, GDS2182, GDS2891, GDS2954
