GDS ID	Pubmed ID	MeSH Terms
GDS1064	15674361	Adolescent ¥ Adult ¥ Aged ¥ Cluster Analysis ¥ Female ¥ Gene Expression Profiling/methods* ¥ Gene Expression Regulation, Leukemic* ¥ Humans ¥ Leukemia, Monocytic, Acute/genetics ¥ Leukemia, Myeloid, Acute/classification* ¥ Leukemia, Myeloid, Acute/diagnosis ¥ Leukemia, Myeloid, Acute/genetics* ¥ Leukemia, Promyelocytic, Acute/genetics ¥ Male ¥ Middle Aged ¥ Phylogeny ¥ Retrospective Studies
GDS1065	15728662	Adolescent ¥ Adult ¥ Biopsy ¥ DNA, Mitochondrial/analysis ¥ DNA, Mitochondrial/genetics ¥ Female ¥ Gene Deletion ¥ Gene Dosage ¥ Gene Expression Profiling* ¥ Gene Expression Regulation ¥ Humans ¥ MELAS Syndrome/genetics ¥ Male ¥ Middle Aged ¥ Mitochondrial Encephalomyopathies/genetics* ¥ Muscle, Skeletal/chemistry ¥ Muscle, Skeletal/metabolism* ¥ Mutation ¥ Oligonucleotide Array Sequence Analysis ¥ Phenotype ¥ RNA, Messenger/analysis ¥ Reproducibility of Results ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1067	15735737	Adult ¥ Aged ¥ Aged, 80 and over ¥ Apoptosis ¥ Cyclin D2 ¥ Cyclins/biosynthesis ¥ DNA, Neoplasm/analysis ¥ Down-Regulation ¥ Female ¥ Gene Expression Profiling* ¥ Genetic Predisposition to Disease* ¥ Humans ¥ Immunoglobulin Heavy Chains ¥ Leukemia, Plasma Cell/genetics* ¥ Leukemia, Plasma Cell/physiopathology* ¥ Male ¥ Middle Aged ¥ Multiple Myeloma/genetics* ¥ Multiple Myeloma/physiopathology* ¥ Prognosis ¥ Receptors, Interleukin-6/biosynthesis ¥ Translocation, Genetic ¥ Up-Regulation
GDS1074	15731354	Antigens, CD34/immunology* ¥ Cell Division/physiology ¥ Core Binding Factor Alpha 2 Subunit ¥ Gene Expression Regulation/physiology ¥ Hematopoietic Stem Cells/immunology ¥ Hematopoietic Stem Cells/metabolism ¥ Hematopoietic Stem Cells/physiology ¥ Humans ¥ Leukemia, Myeloid, Acute/genetics ¥ Leukemia, Myeloid, Acute/immunology ¥ Leukemia, Myeloid, Acute/metabolism ¥ Nerve Growth Factor/metabolism* ¥ Oncogene Proteins, Fusion/genetics* ¥ Oncogene Proteins, Fusion/metabolism ¥ Receptor, trkA/biosynthesis ¥ Receptor, trkA/genetics* ¥ Transcription Factors/genetics* ¥ Transcription Factors/metabolism ¥ Translocation, Genetic ¥ Up-Regulation
GDS1078	15656974	Adenoviridae/genetics ¥ Apoptosis/genetics* ¥ Cell Cycle Proteins/genetics ¥ Cell Cycle Proteins/physiology* ¥ Cell Line, Tumor ¥ Cluster Analysis ¥ DNA-Binding Proteins/genetics ¥ DNA-Binding Proteins/physiology* ¥ E2F Transcription Factors ¥ E2F1 Transcription Factor ¥ Gene Expression Profiling* ¥ Genetic Vectors/genetics ¥ Humans ¥ Melanoma/genetics ¥ Melanoma/pathology ¥ Oligonucleotide Array Sequence Analysis/methods ¥ Reverse Transcriptase Polymerase Chain Reaction/methods ¥ Transcription Factors/genetics ¥ Transcription Factors/physiology* ¥ Transfection
GDS1085	15774023	Cluster Analysis ¥ Gene Expression Profiling* ¥ Genomics/methods ¥ Humans ¥ Oligonucleotide Array Sequence Analysis* ¥ RNA, Messenger/metabolism ¥ Tissue Distribution
GDS1088	15774023	Cluster Analysis ¥ Gene Expression Profiling* ¥ Genomics/methods ¥ Humans ¥ Oligonucleotide Array Sequence Analysis* ¥ RNA, Messenger/metabolism ¥ Tissue Distribution
GDS1094	15802376	Blotting, Western ¥ Carrier Proteins/metabolism ¥ Cell Line ¥ Cell Line, Tumor ¥ Cell Nucleus/metabolism ¥ Cell Proliferation ¥ Chromatin Immunoprecipitation ¥ Dimerization ¥ Down-Regulation ¥ Estradiol/metabolism ¥ Estrogen Receptor alpha/metabolism* ¥ Estrogen Receptor beta/metabolism* ¥ Estrogens/pharmacology* ¥ Gene Expression Regulation* ¥ Humans ¥ Immunoprecipitation ¥ Models, Genetic ¥ Oligonucleotide Array Sequence Analysis ¥ Osteoblasts/metabolism ¥ Osteosarcoma/metabolism ¥ Oxidoreductases Acting on CH-CH Group Donors/metabolism ¥ Promoter Regions, Genetic ¥ Protein Binding ¥ Protein Isoforms ¥ Response Elements ¥ Retinoblastoma-Binding Protein 1 ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Tamoxifen/analogs & derivatives ¥ Tamoxifen/pharmacology*
GDS1095	15790771	Antigens, CD34/metabolism* ¥ Biological Markers/metabolism ¥ Cell Differentiation ¥ Cell Lineage ¥ Cell Proliferation ¥ Cells, Cultured ¥ Cluster Analysis ¥ Culture Techniques ¥ Cyclin-Dependent Kinases/biosynthesis ¥ Cyclin-Dependent Kinases/genetics ¥ Cyclins/biosynthesis ¥ Cyclins/genetics ¥ Gene Expression Profiling* ¥ Gene Expression Regulation ¥ Hematopoietic Stem Cells/cytology ¥ Hematopoietic Stem Cells/metabolism* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Signal Transduction ¥ Thrombopoietin/metabolism
GDS1096	15950434	Algorithms ¥ Brain Neoplasms/genetics ¥ Carcinoma, Hepatocellular/genetics ¥ Cell Differentiation ¥ Cell Lineage ¥ Cluster Analysis ¥ Gene Expression Regulation* ¥ Genes, BRCA1 ¥ Genome, Human* ¥ Humans ¥ Liver Neoplasms/genetics ¥ Lung Neoplasms ¥ Models, Genetic ¥ Multigene Family ¥ Neoplasm Metastasis ¥ Oligonucleotide Array Sequence Analysis ¥ Phylogeny ¥ Promoter Regions, Genetic ¥ RNA/metabolism ¥ Tissue Distribution
GDS1112	11921203	Aged ¥ Aged, 80 and over ¥ Astrocytes/enzymology* ¥ Astrocytes/pathology* ¥ Cell Movement/genetics ¥ Cells, Cultured ¥ Enzymes/genetics ¥ Extracellular Matrix Proteins/genetics ¥ Female ¥ Gene Expression Regulation/physiology* ¥ Glaucoma/enzymology ¥ Glaucoma/genetics* ¥ Glaucoma/physiopathology ¥ Glial Fibrillary Acidic Protein/metabolism ¥ Growth Substances/genetics ¥ Humans ¥ Ion Transport/genetics ¥ Male ¥ Middle Aged ¥ Neural Cell Adhesion Molecules/metabolism ¥ Nitric Oxide/genetics ¥ Oligonucleotide Array Sequence Analysis ¥ Optic Disk/enzymology* ¥ Optic Disk/pathology* ¥ Optic Disk/physiopathology ¥ Signal Transduction/genetics
GDS12	12184274	Bone Marrow Cells/metabolism* ¥ Cell Line ¥ Gene Expression Profiling* ¥ Humans ¥ Stromal Cells/metabolism*
GDS1209	15994966	Animals ¥ Cell Growth Processes/genetics ¥ Cell Hypoxia/genetics ¥ Cell Line, Tumor ¥ DNA-Binding Proteins/biosynthesis ¥ DNA-Binding Proteins/genetics ¥ Fibrosarcoma/genetics* ¥ Fibrosarcoma/metabolism ¥ Fibrosarcoma/secretion ¥ Fibrosarcoma/therapy ¥ Gene Expression Regulation, Neoplastic/physiology* ¥ Humans ¥ Hypoxia-Inducible Factor 1 ¥ Hypoxia-Inducible Factor 1, alpha Subunit ¥ Mice ¥ Mice, Nude ¥ Neoplasm Transplantation ¥ Neovascularization, Pathologic/genetics ¥ Neovascularization, Pathologic/metabolism ¥ Neovascularization, Pathologic/therapy ¥ Nuclear Proteins/biosynthesis ¥ Nuclear Proteins/genetics ¥ Oligonucleotide Array Sequence Analysis ¥ RNA Interference* ¥ RNA, Small Interfering/genetics ¥ Transcription Factors/biosynthesis ¥ Transcription Factors/genetics ¥ Transfection ¥ Transplantation, Heterologous ¥ Up-Regulation ¥ Vascular Endothelial Growth Factor A/antagonists & inhibitors* ¥ Vascular Endothelial Growth Factor A/biosynthesis ¥ Vascular Endothelial Growth Factor A/genetics* ¥ Vascular Endothelial Growth Factor A/secretion
GDS1210	11782383	Cluster Analysis ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic ¥ Humans ¥ Lymphatic Metastasis ¥ Neoplasm Staging ¥ Oligonucleotide Array Sequence Analysis ¥ Stomach Neoplasms/genetics* ¥ Stomach Neoplasms/metabolism ¥ Stomach Neoplasms/pathology
GDS1212	15722553	Binding Sites ¥ Blotting, Western ¥ Cell Line ¥ Cell Line, Tumor ¥ Chromatin Immunoprecipitation ¥ DNA Primers/chemistry ¥ Doxycycline/pharmacology ¥ Epithelial Cells/metabolism ¥ Gene Expression Regulation, Neoplastic* ¥ Hela Cells ¥ Humans ¥ I-kappa B Proteins/metabolism ¥ Inflammation ¥ Models, Biological ¥ NF-kappa B/metabolism* ¥ Oligonucleotide Array Sequence Analysis ¥ Oligonucleotides/chemistry ¥ Phylogeny ¥ Plasmids/metabolism ¥ Polymerase Chain Reaction ¥ Promoter Regions, Genetic ¥ RNA/metabolism ¥ RNA, Messenger/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Signal Transduction ¥ Tetracycline/pharmacology ¥ Time Factors ¥ Transcription Factor RelA ¥ Transcriptional Activation ¥ Tumor Necrosis Factor-alpha/metabolism
GDS1215	15902297	Antineoplastic Combined Chemotherapy Protocols/pharmacology* ¥ Cell Cycle/drug effects ¥ Cell Cycle Proteins/drug effects ¥ Cell Cycle Proteins/genetics ¥ Cell Line, Tumor ¥ Cyclin-Dependent Kinase Inhibitor p21 ¥ Drug Screening Assays, Antitumor ¥ Drug Synergism ¥ Enzyme Inhibitors/pharmacology* ¥ Gene Expression Regulation ¥ Histone Deacetylase Inhibitors* ¥ Histone Deacetylases/genetics ¥ Humans ¥ Leukemia, Myeloid, Acute/drug therapy* ¥ Leukemia, Myeloid, Acute/enzymology* ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Sensitivity and Specificity ¥ Structure-Activity Relationship ¥ Tretinoin/pharmacology* ¥ Valproic Acid/pharmacology*
GDS1221	15820940	Adult ¥ Aged ¥ Antineoplastic Agents/therapeutic use* ¥ Female ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic/drug effects ¥ Humans ¥ Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood ¥ Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy* ¥ Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics* ¥ Leukocytes/drug effects ¥ Leukocytes/physiology ¥ Male ¥ Microarray Analysis ¥ Middle Aged ¥ Piperazines/therapeutic use* ¥ Protein Kinase Inhibitors/therapeutic use* ¥ Pyrimidines/therapeutic use* ¥ RNA, Neoplasm/blood ¥ RNA, Neoplasm/genetics ¥ RNA, Neoplasm/isolation & purification ¥ RNA, Ribosomal/blood ¥ RNA, Ribosomal/genetics ¥ RNA, Ribosomal/isolation & purification
GDS1230	16089502	Animals ¥ Antigens, CD/analysis ¥ Antigens, CD34/analysis ¥ Antigens, CD38/analysis ¥ Antigens, Differentiation, Myelomonocytic/analysis ¥ Cell Differentiation ¥ Cell Lineage ¥ Cell Proliferation ¥ Fetal Blood/cytology ¥ Flow Cytometry ¥ Gene Expression Profiling/methods* ¥ Genomics/methods* ¥ Hematopoietic Stem Cells/cytology ¥ Hematopoietic Stem Cells/metabolism* ¥ Humans ¥ Membrane Proteins/genetics ¥ Membrane Proteins/physiology ¥ Multigene Family/physiology ¥ Nerve Tissue Proteins/genetics ¥ Nerve Tissue Proteins/physiology ¥ Oligonucleotide Array Sequence Analysis ¥ Phosphoproteins/genetics ¥ Phosphoproteins/physiology ¥ RNA, Messenger/metabolism ¥ Rhodamine 123/analysis ¥ Zebrafish/embryology ¥ Zebrafish/genetics* ¥ Zebrafish Proteins/genetics ¥ Zebrafish Proteins/physiology
GDS1231	16089502	Animals ¥ Antigens, CD/analysis ¥ Antigens, CD34/analysis ¥ Antigens, CD38/analysis ¥ Antigens, Differentiation, Myelomonocytic/analysis ¥ Cell Differentiation ¥ Cell Lineage ¥ Cell Proliferation ¥ Fetal Blood/cytology ¥ Flow Cytometry ¥ Gene Expression Profiling/methods* ¥ Genomics/methods* ¥ Hematopoietic Stem Cells/cytology ¥ Hematopoietic Stem Cells/metabolism* ¥ Humans ¥ Membrane Proteins/genetics ¥ Membrane Proteins/physiology ¥ Multigene Family/physiology ¥ Nerve Tissue Proteins/genetics ¥ Nerve Tissue Proteins/physiology ¥ Oligonucleotide Array Sequence Analysis ¥ Phosphoproteins/genetics ¥ Phosphoproteins/physiology ¥ RNA, Messenger/metabolism ¥ Rhodamine 123/analysis ¥ Zebrafish/embryology ¥ Zebrafish/genetics* ¥ Zebrafish Proteins/genetics ¥ Zebrafish Proteins/physiology
GDS1235	15996926	Adolescent ¥ Bone Marrow/metabolism ¥ Child ¥ Child, Preschool ¥ Cluster Analysis ¥ DNA, Complementary/metabolism ¥ Gene Expression Regulation, Neoplastic* ¥ Gene Library ¥ Humans ¥ Infant ¥ Oligonucleotide Array Sequence Analysis/instrumentation* ¥ Oligonucleotide Array Sequence Analysis/methods* ¥ Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics* ¥ Sequence Analysis, DNA
GDS1237	16005178	Anaplasma phagocytophilum/physiology* ¥ Apoptosis/genetics ¥ Cell Adhesion/genetics ¥ Gene Expression Regulation* ¥ Humans ¥ Inflammation Mediators/metabolism ¥ Iron/metabolism ¥ Leukemia, Promyelocytic, Acute ¥ Neutrophils/metabolism ¥ Neutrophils/microbiology* ¥ Oligonucleotide Array Sequence Analysis ¥ Signal Transduction/genetics ¥ Transcription Factors/genetics ¥ Transcription Factors/metabolism ¥ Tumor Cells, Cultured
GDS1249	15995707	Animals ¥ CD40 Ligand/metabolism ¥ Cell Membrane/metabolism ¥ Cytokines/biosynthesis ¥ Cytokines/metabolism ¥ DNA-Binding Proteins/metabolism ¥ Dendritic Cells/cytology* ¥ Dose-Response Relationship, Drug ¥ Gene Expression Regulation* ¥ Humans ¥ Immunoblotting ¥ Interferon-gamma/metabolism ¥ Interleukin-12/biosynthesis ¥ Interleukin-12/metabolism ¥ Interleukin-23 ¥ Interleukin-23 Subunit p19 ¥ Interleukins/biosynthesis ¥ Kinetics ¥ Membrane Glycoproteins/agonists* ¥ Membrane Glycoproteins/metabolism ¥ Mice ¥ Mice, Inbred BALB C ¥ Oligonucleotide Array Sequence Analysis ¥ Protein Subunits/metabolism ¥ RNA, Messenger/metabolism ¥ Receptors, Cell Surface/agonists* ¥ Receptors, Cell Surface/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ T-Lymphocytes/immunology ¥ Th1 Cells/immunology* ¥ Th1 Cells/metabolism* ¥ Time Factors ¥ Toll-Like Receptor 3 ¥ Toll-Like Receptor 4 ¥ Toll-Like Receptor 7 ¥ Toll-Like Receptor 8 ¥ Toll-Like Receptor 9 ¥ Toll-Like Receptors ¥ Transcription, Genetic
GDS1250	15864312	Breast Neoplasms/enzymology ¥ Breast Neoplasms/genetics* ¥ Carcinoma, Ductal, Breast/enzymology ¥ Carcinoma, Ductal, Breast/genetics* ¥ Female ¥ Gene Expression Profiling* ¥ Humans ¥ Immunohistochemistry ¥ Matrix Metalloproteinase 1/genetics* ¥ Oligonucleotide Array Sequence Analysis ¥ RNA, Messenger/metabolism* ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Tumor Markers, Biological/genetics*
GDS1252	17178917	Actins/metabolism ¥ Animals ¥ Bleomycin/pharmacology ¥ Caveolin 1/genetics ¥ Caveolin 1/metabolism* ¥ Caveolin 1/physiology ¥ Collagen Type I/metabolism ¥ Epithelial Cells/drug effects ¥ Epithelial Cells/metabolism ¥ Extracellular Matrix/metabolism ¥ Fibroblasts/drug effects ¥ Fibroblasts/metabolism ¥ Fibronectins/metabolism ¥ Fibrosis ¥ Gene Expression ¥ Humans ¥ Hydroxyproline/metabolism ¥ JNK Mitogen-Activated Protein Kinases/antagonists & inhibitors ¥ JNK Mitogen-Activated Protein Kinases/metabolism ¥ Lung/metabolism* ¥ Lung/pathology ¥ Mice ¥ Mice, Inbred C57BL ¥ Mice, Knockout ¥ Mitogen-Activated Protein Kinase 8/antagonists & inhibitors ¥ Mitogen-Activated Protein Kinase 8/genetics ¥ Mitogen-Activated Protein Kinase 8/metabolism ¥ Phosphorylation ¥ Pulmonary Fibrosis/chemically induced ¥ Pulmonary Fibrosis/metabolism* ¥ Pulmonary Fibrosis/physiopathology ¥ RNA, Small Interfering/genetics ¥ Smad2 Protein/metabolism ¥ Transfection ¥ Transforming Growth Factor beta1/metabolism ¥ Transforming Growth Factor beta1/pharmacology
GDS1253	15994756	Adenoma/genetics* ¥ Adenoma/secretion ¥ Adrenocorticotropic Hormone/secretion ¥ Cell Cycle Proteins/genetics ¥ Cyclin-Dependent Kinase Inhibitor p18 ¥ DNA-Binding Proteins ¥ Gene Expression Profiling* ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Membrane Proteins/genetics ¥ Oligonucleotide Array Sequence Analysis* ¥ Oncogene Proteins/genetics ¥ Pituitary Neoplasms/genetics* ¥ Pituitary Neoplasms/secretion ¥ Polymerase Chain Reaction ¥ Prolactin/secretion ¥ Transcription Factors ¥ Tumor Suppressor Proteins/genetics
GDS1256	15985639	Adrenal Cortex Hormones/metabolism ¥ Bronchi/cytology* ¥ Bronchi/metabolism ¥ Cell Cycle ¥ Cell Differentiation ¥ Cells, Cultured ¥ Chemokine CCL2/metabolism ¥ Chemokine CCL5/metabolism ¥ Cluster Analysis ¥ Culture Media/metabolism ¥ Cytokines/metabolism ¥ Dexamethasone/pharmacology ¥ Dose-Response Relationship, Drug ¥ Down-Regulation ¥ Epithelial Cells/metabolism* ¥ Gene Expression ¥ Gene Expression Regulation* ¥ Glucocorticoids/metabolism ¥ Humans ¥ Inflammation ¥ Interferon-gamma/metabolism* ¥ Interferon-gamma, Recombinant/chemistry ¥ Interferons/metabolism ¥ Oligonucleotide Array Sequence Analysis ¥ Oligonucleotides/chemistry ¥ Quality Control ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Signal Transduction ¥ T-Lymphocytes/metabolism ¥ Time Factors ¥ Transcription, Genetic ¥ Up-Regulation
GDS1257	15741505	Anemia, Sickle Cell/blood ¥ Anemia, Sickle Cell/genetics* ¥ Base Sequence ¥ Bayes Theorem ¥ Cells, Cultured ¥ DNA Primers ¥ DNA, Complementary ¥ Endothelium, Vascular/physiology* ¥ Endothelium, Vascular/physiopathology* ¥ Gene Expression Regulation* ¥ Hemoglobin, Sickle/genetics ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Pulmonary Artery ¥ RNA/genetics ¥ Reference Values ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1258	15741505	Anemia, Sickle Cell/blood ¥ Anemia, Sickle Cell/genetics* ¥ Base Sequence ¥ Bayes Theorem ¥ Cells, Cultured ¥ DNA Primers ¥ DNA, Complementary ¥ Endothelium, Vascular/physiology* ¥ Endothelium, Vascular/physiopathology* ¥ Gene Expression Regulation* ¥ Hemoglobin, Sickle/genetics ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Pulmonary Artery ¥ RNA/genetics ¥ Reference Values ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1269	16166618	Adult ¥ Animals ¥ Bronchoalveolar Lavage Fluid ¥ Disease Models, Animal ¥ Enzyme-Linked Immunosorbent Assay ¥ Female ¥ Gene Expression* ¥ Humans ¥ Macrophage Activation/genetics* ¥ Macrophages, Alveolar/metabolism* ¥ Male ¥ Matrix Metalloproteinase 12 ¥ Metalloendopeptidases/genetics* ¥ Mice ¥ Mice, Inbred BALB C ¥ Middle Aged ¥ Polymerase Chain Reaction ¥ Pulmonary Emphysema/etiology ¥ Pulmonary Emphysema/genetics ¥ Pulmonary Emphysema/metabolism ¥ RNA/genetics* ¥ Smoking/adverse effects ¥ Smoking/genetics ¥ Smoking/metabolism*
GDS1282	16299227	Blotting, Western ¥ Cluster Analysis ¥ Gene Expression Profiling* ¥ Gene Expression Regulation, Neoplastic/genetics ¥ Hedgehog Proteins ¥ Humans ¥ Immunohistochemistry ¥ Kidney Neoplasms/genetics* ¥ Kidney Neoplasms/metabolism ¥ Proto-Oncogene Proteins c-akt/genetics ¥ Proto-Oncogene Proteins c-akt/metabolism ¥ Proto-Oncogene Proteins c-kit/genetics ¥ Proto-Oncogene Proteins c-kit/metabolism ¥ Receptor, Epidermal Growth Factor/genetics ¥ Receptor, Epidermal Growth Factor/metabolism ¥ Receptors, Nerve Growth Factor/genetics ¥ Receptors, Nerve Growth Factor/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Sarcoma, Clear Cell/genetics* ¥ Sarcoma, Clear Cell/metabolism ¥ Signal Transduction/genetics ¥ Trans-Activators/genetics ¥ Trans-Activators/metabolism ¥ Tumor Markers, Biological/genetics ¥ Tumor Markers, Biological/metabolism ¥ Up-Regulation/genetics
GDS1284	16129847	Adult ¥ Aged ¥ Aged, 80 and over ¥ Cyclin D1/genetics* ¥ Female ¥ Gene Expression ¥ Gene Expression Profiling* ¥ Humans ¥ In Situ Hybridization, Fluorescence ¥ Male ¥ Middle Aged ¥ Multiple Myeloma/classification ¥ Multiple Myeloma/genetics* ¥ Oligonucleotide Array Sequence Analysis ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Translocation, Genetic/genetics
GDS1286	16113055	Blotting, Northern ¥ Blotting, Western ¥ Cell Culture Techniques ¥ Cell Cycle ¥ Cell Line, Tumor ¥ Computational Biology ¥ DNA Damage ¥ Esophageal Neoplasms/genetics* ¥ Esophageal Neoplasms/physiopathology* ¥ Esophagus/cytology ¥ Esophagus/physiology* ¥ Gastroesophageal Reflux/complications* ¥ Gene Expression Profiling ¥ Gene Expression Regulation, Neoplastic* ¥ Humans ¥ Hydrogen-Ion Concentration ¥ Oligonucleotide Array Sequence Analysis ¥ Promoter Regions, Genetic ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1287	15965235	Aged ¥ Algorithms ¥ Bone Density ¥ Chemotaxis ¥ Female ¥ Gene Expression Regulation* ¥ Glucocorticoids/metabolism ¥ Histidine Decarboxylase/metabolism ¥ Humans ¥ Lumbar Vertebrae/metabolism ¥ Middle Aged ¥ Models, Biological ¥ Monocytes/cytology ¥ Monocytes/metabolism* ¥ Oligonucleotide Array Sequence Analysis ¥ Osteoporosis/blood* ¥ Osteoporosis/genetics ¥ Osteoporosis/pathology* ¥ Receptors, CCR3 ¥ Receptors, Chemokine/metabolism ¥ Receptors, Glucocorticoid/metabolism ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Risk Factors
