"Source","Target","Bidirectional?","Type color","Data name (edge)","Concept","Ontology","Color","Data name (node)","Shared terms","Parent-child SNPs"
"Alcohol Dependence","POST_TRANSLATIONAL_PROTEIN_MODIFICATION","n","#ff8888ff","Alcohol Dependence","INDUCTION_OF_APOPTOSIS_BY_INTRACELLULAR_SIGNALS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","AMINE_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","POST_TRANSLATIONAL_PROTEIN_MODIFICATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS","n","#ff8888ff","Alcohol Dependence","AMINE_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RESPONSE_TO_EXTERNAL_STIMULUS","n","#ff8888ff","Alcohol Dependence","POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS","n","#ff8888ff","Alcohol Dependence","RESPONSE_TO_EXTERNAL_STIMULUS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PROGRAMMED_CELL_DEATH","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","PROGRAMMED_CELL_DEATH","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RNA_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELLULAR_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","SYSTEM_PROCESS","n","#ff8888ff","Alcohol Dependence","RNA_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELL_DEVELOPMENT","n","#ff8888ff","Alcohol Dependence","SYSTEM_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NITROGEN_COMPOUND_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELL_DEVELOPMENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_APOPTOSIS","n","#ff8888ff","Alcohol Dependence","NITROGEN_COMPOUND_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_PROGRAMMED_CELL_DEATH","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_APOPTOSIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_PROTEIN_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_PROGRAMMED_CELL_DEATH","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ACTIN_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","n","#ff8888ff","Alcohol Dependence","CELLULAR_PROTEIN_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PROTEIN_MODIFICATION_PROCESS","n","#ff8888ff","Alcohol Dependence","ACTIN_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELL_CYCLE_PHASE","n","#ff8888ff","Alcohol Dependence","PROTEIN_MODIFICATION_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ORGANELLE_ORGANIZATION_AND_BIOGENESIS","n","#ff8888ff","Alcohol Dependence","CELL_CYCLE_PHASE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","TRANSLATION","n","#ff8888ff","Alcohol Dependence","ORGANELLE_ORGANIZATION_AND_BIOGENESIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RESPONSE_TO_HORMONE_STIMULUS","n","#ff8888ff","Alcohol Dependence","TRANSLATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"REGULATION_OF_RNA_METABOLIC_PROCESS","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","RESPONSE_TO_HORMONE_STIMULUS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"ORGANIC_ACID_METABOLIC_PROCESS","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_PURINE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_GLUTATHIONE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","BRAIN_DEVELOPMENT","y","#ff0000ff","Alcohol Dependence","KEGG_LONG_TERM_DEPRESSION","KEGG","#ffff99ff","Alcohol Dependence","",""
"IMMUNE_RESPONSE","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_CELLULAR_PROCESS","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_TIGHT_JUNCTION","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_CELLULAR_PROCESS","CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","y","#ff0000ff","Alcohol Dependence","KEGG_GLYCOLYSIS_GLUCONEOGENESIS","KEGG","#ffff99ff","Alcohol Dependence","",""
"AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_PYRIMIDINE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS","ORGANIC_ACID_METABOLIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_ARGININE_AND_PROLINE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"RESPONSE_TO_ENDOGENOUS_STIMULUS","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","KEGG","#ffff99ff","Alcohol Dependence","",""
"RESPONSE_TO_ENDOGENOUS_STIMULUS","CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","y","#ff0000ff","Alcohol Dependence","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"RESPONSE_TO_ENDOGENOUS_STIMULUS","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_GLYCEROLIPID_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"REGULATION_OF_CELL_CYCLE","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"REGULATION_OF_CELL_CYCLE","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG","#ffff99ff","Alcohol Dependence","",""
"TRANSCRIPTION_DNA_DEPENDENT","BIOSYNTHETIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY","KEGG","#ffff99ff","Alcohol Dependence","",""
"TRANSCRIPTION_DNA_DEPENDENT","REGULATION_OF_RNA_METABOLIC_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_SPHINGOLIPID_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY","KEGG","#ffff99ff","Alcohol Dependence","",""
"NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","REGULATION_OF_CELL_CYCLE","y","#ff0000ff","Alcohol Dependence","KEGG_SPLICEOSOME","KEGG","#ffff99ff","Alcohol Dependence","",""
"INTERPHASE","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_TGF_BETA_SIGNALING_PATHWAY","KEGG","#ffff99ff","Alcohol Dependence","",""
"INTERPHASE","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_RENAL_CELL_CARCINOMA","KEGG","#ffff99ff","Alcohol Dependence","",""
"INTERPHASE","REGULATION_OF_CELL_CYCLE","y","#ff0000ff","Alcohol Dependence","KEGG_RNA_POLYMERASE","KEGG","#ffff99ff","Alcohol Dependence","",""
"ACTIN_FILAMENT_BASED_PROCESS","CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","y","#ff0000ff","Alcohol Dependence","KEGG_RIBOSOME","KEGG","#ffff99ff","Alcohol Dependence","",""
"CELL_CYCLE_GO_0007049","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_INSULIN_SIGNALING_PATHWAY","KEGG","#ffff99ff","Alcohol Dependence","",""
"CELL_CYCLE_GO_0007049","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_PATHWAYS_IN_CANCER","KEGG","#ffff99ff","Alcohol Dependence","",""
"CELL_CYCLE_GO_0007049","REGULATION_OF_CELL_CYCLE","y","#ff0000ff","Alcohol Dependence","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG","#ffff99ff","Alcohol Dependence","",""
"CELL_CYCLE_GO_0007049","NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG","#ffff99ff","Alcohol Dependence","",""
"CELL_CYCLE_GO_0007049","INTERPHASE","y","#ff0000ff","Alcohol Dependence","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","y","#ff0000ff","Alcohol Dependence","KEGG_PYRUVATE_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","y","#ff0000ff","Alcohol Dependence","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","y","#ff0000ff","Alcohol Dependence","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
"POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","REGULATION_OF_CELL_CYCLE","y","#ff0000ff","Alcohol Dependence","KEGG_NITROGEN_METABOLISM","KEGG","#ffff99ff","Alcohol Dependence","",""
